"","cl"
"AT1G02220",1
"AT1G02400",1
"AT1G02450",2
"AT1G02660",2
"AT1G02880",2
"AT1G03050",2
"AT1G03230",2
"AT1G03370",2
"AT1G03502-AT1G03506-AT1G04187-AT1G04193-AT1G04197",2
"AT1G03730",2
"AT1G03740",2
"AT1G03850",2
"AT1G03905",2
"AT1G04100",2
"AT1G04360",2
"AT1G04977",2
"AT1G05000",2
"AT1G05260",2
"AT1G05620",2
"AT1G05630",3
"AT1G06135",2
"AT1G06983",2
"AT1G07020",2
"AT1G07030",2
"AT1G07128",2
"AT1G07130",2
"AT1G07240",1
"AT1G07520",2
"AT1G07900",2
"AT1G08290",2
"AT1G08387",1
"AT1G08450",2
"AT1G08925",2
"AT1G09070",3
"AT1G09250",2
"AT1G09617",2
"AT1G09715",2
"AT1G09727",2
"AT1G09745",2
"AT1G09930",2
"AT1G10050",2
"AT1G10070",1
"AT1G10586",2
"AT1G11050",2
"AT1G11100",2
"AT1G11200",2
"AT1G11300",2
"AT1G11310",2
"AT1G11320",2
"AT1G11330",2
"AT1G11905",2
"AT1G12360",2
"AT1G12420",2
"AT1G12760",2
"AT1G13190",3
"AT1G13470",2
"AT1G14040",2
"AT1G14080",2
"AT1G14370",2
"AT1G14640-AT1G14642",2
"AT1G14880",2
"AT1G15385",2
"AT1G16130",2
"AT1G16220",2
"AT1G16370",1
"AT1G17060",1
"AT1G17145-AT1G17147",2
"AT1G17420",2
"AT1G17500",2
"AT1G17820",4
"AT1G17890",2
"AT1G17990",2
"AT1G18740",2
"AT1G19300",2
"AT1G19360",2
"AT1G19380",2
"AT1G19670",2
"AT1G19770",2
"AT1G20510",2
"AT1G20780",2
"AT1G21100",2
"AT1G21250",2
"AT1G21270",2
"AT1G21326",2
"AT1G21370",2
"AT1G21520",2
"AT1G22650",3
"AT1G22885",2
"AT1G23830",2
"AT1G23840",2
"AT1G24095",2
"AT1G24145",2
"AT1G24147",2
"AT1G24150",2
"AT1G25275",2
"AT1G25422",1
"AT1G25500",2
"AT1G26270",1
"AT1G27330",2
"AT1G27350",2
"AT1G27770",2
"AT1G28380",2
"AT1G28390",2
"AT1G29300",2
"AT1G29330",2
"AT1G29965",2
"AT1G30320",2
"AT1G30757",2
"AT1G30850",2
"AT1G30900",2
"AT1G31130",2
"AT1G31540",2
"AT1G32127",2
"AT1G32460",2
"AT1G32680",1
"AT1G32690",2
"AT1G32950",2
"AT1G33090",2
"AT1G33110",2
"AT1G33610",2
"AT1G33960",2
"AT1G34180",2
"AT1G34370",2
"AT1G34420",2
"AT1G34750",2
"AT1G35710",2
"AT1G35910",2
"AT1G36610",2
"AT1G36620",2
"AT1G36640",2
"AT1G43000",2
"AT1G43160",2
"AT1G45145",2
"AT1G47130",2
"AT1G47510",2
"AT1G48040",2
"AT1G48210",1
"AT1G48605",2
"AT1G48850",2
"AT1G49000",2
"AT1G49050",2
"AT1G49780",2
"AT1G50740",2
"AT1G50745",2
"AT1G50745-AT1G50750",2
"AT1G50750",2
"AT1G51780",3
"AT1G51790",2
"AT1G51800",2
"AT1G51820",2
"AT1G51850",2
"AT1G51860",2
"AT1G52890",2
"AT1G53233",4
"AT1G53390",2
"AT1G53920",2
"AT1G54000",2
"AT1G54090",2
"AT1G54095",2
"AT1G55210",2
"AT1G55365",2
"AT1G56130",2
"AT1G56540",2
"AT1G56550",2
"AT1G56660",3
"AT1G57610",2
"AT1G58420",2
"AT1G58590",1
"AT1G58602",2
"AT1G59710",2
"AT1G59740",1
"AT1G59860",2
"AT1G59865",2
"AT1G59910",2
"AT1G60440",2
"AT1G61110",2
"AT1G61140",2
"AT1G61260",2
"AT1G61340",2
"AT1G61430",2
"AT1G61470",2
"AT1G61800",2
"AT1G62305",2
"AT1G62840",2
"AT1G63750",2
"AT1G63830",1
"AT1G63840",2
"AT1G64280",2
"AT1G65490",3
"AT1G65500",2
"AT1G65520",2
"AT1G65790",2
"AT1G65840",1
"AT1G66500",2
"AT1G66560",2
"AT1G66680",2
"AT1G66920",2
"AT1G67060",2
"AT1G67070",2
"AT1G67470",2
"AT1G67650",2
"AT1G67800",2
"AT1G67850",2
"AT1G67920",2
"AT1G67970",1
"AT1G68460",2
"AT1G68500",5
"AT1G69150",2
"AT1G69280",2
"AT1G69572",1
"AT1G69750",2
"AT1G69840",2
"AT1G69960",2
"AT1G70130",2
"AT1G70140",2
"AT1G70480",2
"AT1G70690",2
"AT1G70700",1
"AT1G70740",2
"AT1G70780",2
"AT1G71697",3
"AT1G72120",2
"AT1G72125",2
"AT1G72220",2
"AT1G72750",2
"AT1G72910",2
"AT1G72940",2
"AT1G73250",2
"AT1G73260",2
"AT1G73540",3
"AT1G73740",3
"AT1G73805",2
"AT1G74010",1
"AT1G74020",2
"AT1G74790",3
"AT1G74950",2
"AT1G75170",2
"AT1G76250",2
"AT1G76480",2
"AT1G76700",2
"AT1G77360",2
"AT1G77890",2
"AT1G78380",2
"AT1G78830",2
"AT1G78850",2
"AT1G78860",1
"AT1G79245",2
"AT1G79670",2
"AT1G79690",2
"AT1G80440",2
"AT1G80510",2
"AT1G80590",2
"AT2G01650",2
"AT2G02220",2
"AT2G02540",4
"AT2G02810",2
"AT2G02860",2
"AT2G02870",2
"AT2G03530-AT2G03540",2
"AT2G03760",2
"AT2G04100",2
"AT2G05260",2
"AT2G05440",1
"AT2G05875",2
"AT2G05940",2
"AT2G07723-AT2G07815",2
"AT2G11520",2
"AT2G13790",2
"AT2G15042",2
"AT2G15340",2
"AT2G15780",2
"AT2G16060",2
"AT2G17110",2
"AT2G17120",2
"AT2G17130",2
"AT2G17220",2
"AT2G17290",2
"AT2G17420",2
"AT2G17760",2
"AT2G18000",2
"AT2G18680",2
"AT2G19130",2
"AT2G19160",2
"AT2G19710",2
"AT2G19880",2
"AT2G20010",2
"AT2G20780",1
"AT2G20960",2
"AT2G21120",2
"AT2G21850",2
"AT2G22330",1
"AT2G22470",2
"AT2G23290",2
"AT2G23330",2
"AT2G23450",2
"AT2G24160",2
"AT2G24165",2
"AT2G24195",2
"AT2G24570",2
"AT2G25090",1
"AT2G25215",2
"AT2G25260",2
"AT2G25810",3
"AT2G26150",2
"AT2G26310",2
"AT2G26400",2
"AT2G26440",2
"AT2G26480",2
"AT2G27660",2
"AT2G28160",2
"AT2G28400",1
"AT2G28570",2
"AT2G28940",2
"AT2G29120",3
"AT2G29165",2
"AT2G29170",2
"AT2G29400",2
"AT2G29440",1
"AT2G29450",1
"AT2G29480-AT2G29490",1
"AT2G29940",2
"AT2G30250",2
"AT2G30250-AT2G30260",2
"AT2G30360",2
"AT2G30362",2
"AT2G30440",2
"AT2G30640",2
"AT2G31570",2
"AT2G31990",2
"AT2G32190",2
"AT2G32200",2
"AT2G32210",2
"AT2G33110",2
"AT2G33120",2
"AT2G33840-AT2G33845",1
"AT2G34360",2
"AT2G34580",2
"AT2G34600",2
"AT2G34810",1
"AT2G34940",2
"AT2G35000",2
"AT2G35710",2
"AT2G36380",2
"AT2G36440",2
"AT2G36470",1
"AT2G36630",3
"AT2G37540",1
"AT2G37710",2
"AT2G37970",3
"AT2G38240",2
"AT2G38360",2
"AT2G38380",5
"AT2G38490",2
"AT2G38610",2
"AT2G38760",3
"AT2G38790",2
"AT2G38870",2
"AT2G38960",2
"AT2G39400",2
"AT2G39420",2
"AT2G39518",2
"AT2G39710",2
"AT2G40000",2
"AT2G40180",2
"AT2G40750",2
"AT2G41410",2
"AT2G42650",2
"AT2G42990",2
"AT2G43160",2
"AT2G44010",2
"AT2G44280",2
"AT2G44290",2
"AT2G44490",2
"AT2G44500",2
"AT2G44600",1
"AT2G44840",3
"AT2G45580",2
"AT2G46400",2
"AT2G46430",2
"AT2G46440",2
"AT2G46500",2
"AT2G46750",2
"AT2G47130",2
"AT2G47140",2
"AT2G47190",2
"AT2G47550",2
"AT2G47730",2
"AT3G00400",2
"AT3G00740",1
"AT3G00850",2
"AT3G01080",2
"AT3G01720",2
"AT3G01990",2
"AT3G02070",2
"AT3G02150",2
"AT3G02230",2
"AT3G02360",2
"AT3G02520",2
"AT3G02880",2
"AT3G02945-AT3G14460",2
"AT3G03610",2
"AT3G03670",2
"AT3G04200",2
"AT3G04580",2
"AT3G04630",2
"AT3G05370",2
"AT3G05580",2
"AT3G05710",2
"AT3G05830",2
"AT3G06500",2
"AT3G06890",2
"AT3G07090",3
"AT3G07255",2
"AT3G07580",2
"AT3G08710",2
"AT3G08970",2
"AT3G09020",2
"AT3G09350",2
"AT3G09490",2
"AT3G09520",2
"AT3G09570",2
"AT3G09810",2
"AT3G09960",2
"AT3G10930",2
"AT3G11010",2
"AT3G11040",2
"AT3G11080",2
"AT3G11150",2
"AT3G11170",3
"AT3G11402",2
"AT3G11480",2
"AT3G11570",2
"AT3G13050",2
"AT3G13276-AT3G13277",2
"AT3G13600",1
"AT3G13850",2
"AT3G13910",2
"AT3G13965",2
"AT3G14200",2
"AT3G14630",2
"AT3G14770",1
"AT3G14840",2
"AT3G15060",2
"AT3G15990",2
"AT3G16030",2
"AT3G16150",2
"AT3G16565",1
"AT3G17240",2
"AT3G17410",2
"AT3G17609",3
"AT3G17700",2
"AT3G18690",2
"AT3G18710",2
"AT3G18930",1
"AT3G19660",2
"AT3G20600",2
"AT3G21070",2
"AT3G21230",2
"AT3G21630",2
"AT3G21780",2
"AT3G22231",2
"AT3G22235",2
"AT3G22240",2
"AT3G22260",2
"AT3G22370",2
"AT3G23010",2
"AT3G23120",2
"AT3G23170",2
"AT3G23440",3
"AT3G23560",2
"AT3G24090",2
"AT3G24530",2
"AT3G24550",2
"AT3G24982",2
"AT3G25070",2
"AT3G25240",2
"AT3G25600",2
"AT3G25880-AT3G25882",2
"AT3G26020",2
"AT3G26090",2
"AT3G26210",2
"AT3G27330",2
"AT3G28180",2
"AT3G28450",2
"AT3G28940",2
"AT3G29000",2
"AT3G29250",2
"AT3G30120",2
"AT3G44110",2
"AT3G44260",2
"AT3G44326",2
"AT3G44400",2
"AT3G44860",3
"AT3G45040",2
"AT3G45640",2
"AT3G46080",1
"AT3G46620",2
"AT3G46700",2
"AT3G47040",2
"AT3G47550",1
"AT3G47780",2
"AT3G47800",1
"AT3G48090",2
"AT3G48780",2
"AT3G49120",2
"AT3G49530",2
"AT3G50060",3
"AT3G50280",2
"AT3G50470",2
"AT3G50910",2
"AT3G50950",2
"AT3G51330",2
"AT3G51440",2
"AT3G51790",2
"AT3G51890",2
"AT3G53720",2
"AT3G54100",2
"AT3G54130",2
"AT3G54810",2
"AT3G55450",1
"AT3G56400",2
"AT3G56710",2
"AT3G56880",1
"AT3G57240",2
"AT3G57280",2
"AT3G57380",2
"AT3G57480",2
"AT3G57530",2
"AT3G57630",3
"AT3G57640",2
"AT3G57700",2
"AT3G57730",2
"AT3G57750",2
"AT3G58490",2
"AT3G59350",1
"AT3G60110",2
"AT3G60415",2
"AT3G61280",2
"AT3G62600",2
"AT3G62690",1
"AT3G62720",2
"AT3G62780",2
"AT3G63310",2
"AT4G00300",2
"AT4G00500",2
"AT4G00955",2
"AT4G01250",2
"AT4G01360",2
"AT4G01700",2
"AT4G01950",1
"AT4G02200",2
"AT4G02380-AT4G04125",2
"AT4G02410",2
"AT4G02420",3
"AT4G02550",1
"AT4G03085-AT4G07200-AT4G07205-AT4G24015",2
"AT4G03320",2
"AT4G04510",2
"AT4G04695",2
"AT4G04800",2
"AT4G06746",2
"AT4G08180",2
"AT4G08230",2
"AT4G08470",2
"AT4G08555",2
"AT4G08850",2
"AT4G09570",2
"AT4G09590",2
"AT4G10040",2
"AT4G10390",1
"AT4G10500",2
"AT4G10960",2
"AT4G10970",2
"AT4G11000",2
"AT4G11300",2
"AT4G11360",1
"AT4G11470",2
"AT4G11500",1
"AT4G11840",2
"AT4G12040",2
"AT4G12250",2
"AT4G12720",2
"AT4G13040",2
"AT4G13180",2
"AT4G14220",2
"AT4G14610",2
"AT4G14640",1
"AT4G14680",2
"AT4G15130",1
"AT4G15233",2
"AT4G15260",2
"AT4G15417",2
"AT4G16146",5
"AT4G16500",1
"AT4G16670",2
"AT4G16730",3
"AT4G16740",5
"AT4G17160",3
"AT4G17230",2
"AT4G17486",2
"AT4G17490",2
"AT4G17900",2
"AT4G18195",2
"AT4G18197",2
"AT4G18205",2
"AT4G18290",2
"AT4G18630",2
"AT4G18880",2
"AT4G19810",2
"AT4G20050",1
"AT4G21120",2
"AT4G21380",2
"AT4G21400",2
"AT4G21534",2
"AT4G21680",2
"AT4G21740",3
"AT4G21920",1
"AT4G22305",2
"AT4G22690",2
"AT4G22780",2
"AT4G23010",2
"AT4G23140",2
"AT4G23170",2
"AT4G23180",2
"AT4G23220",2
"AT4G23230",2
"AT4G23270",2
"AT4G23280",2
"AT4G23320",2
"AT4G23470",2
"AT4G23570",2
"AT4G23610",2
"AT4G23730",2
"AT4G23885",2
"AT4G24000",2
"AT4G24160",2
"AT4G24380",2
"AT4G24970",2
"AT4G25110",2
