"","Enrichment.FDR","nGenes","Pathway.Genes","Fold.Enrichment","Pathway","URL","Genes","cluster"
"1",0.000453051104041195,4,9,32.0615027560197,"GO:0090069 Reg. of ribosome biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0090069"," AT1G67620  FZF  OLI2  AT5G14520","1"
"2",6.4633081818197e-07,8,28,20.6109660574413,"GO:0006270 Dna replication initiation ","https://amigo.geneontology.org/amigo/term/GO:0006270"," ORC6  MCM2  MCM5  CDT1A  ORC1B  ORC3  MCM6  PSF1","1"
"3",0.000414466632333414,5,18,20.0384392225123,"GO:0006268 Dna unwinding involved in dna replication ","https://amigo.geneontology.org/amigo/term/GO:0006268"," MCM2  RPA1A  RPA70B  MCM6  MCM5","1"
"4",0.000988816290126159,5,22,16.395086636601,"GO:0000103 Sulfate assimilation ","https://amigo.geneontology.org/amigo/term/GO:0000103"," APS1  AKN2  SIR  SAL1  APR1","1"
"5",3.3067756633937e-05,8,47,12.2788733959224,"GO:0000470 Maturation of lsu-rrna ","https://amigo.geneontology.org/amigo/term/GO:0000470"," AT1G06380  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G20160  AT5G48240  OLI2","1"
"6",3.20775326641492e-08,14,101,9.999379572422,"GO:0042273 Ribosomal large subunit biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0042273"," AT1G06380  AT1G13160  SAC52  AT2G18220  AT2G20450  FZF  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G20160  AT5G48240  OLI2  PPAN","1"
"7",0.00164524645080169,7,60,8.41614447345518,"GO:0009404 Toxin metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0009404"," GSTU7  GSTU6  GSTU5  WES1  GGP1  CYP79B3  GSTF10","1"
"8",2.00838757562526e-05,13,146,6.42328051790121,"GO:0006261 Dna-templated dna replication ","https://amigo.geneontology.org/amigo/term/GO:0006261"," ORC6  MCM2  PSF1  RPA1A  MCM5  PCNA2  CDT1A  ORC1B  RPA70B  ORC3  MCM6  AT3G20898  DA1","1"
"9",7.93443730590179e-06,15,184,5.8808462935634,"GO:0006260 Dna replication ","https://amigo.geneontology.org/amigo/term/GO:0006260"," ORC6  MCM2  PSF1  RPA1A  MCM5  RPA2  PCNA2  CDT1A  ORC1B  RPA70B  ORC3  MCM6  ORC2  AT3G20898  DA1","1"
"10",1.37796127887495e-08,23,301,5.51223510838545,"GO:0006364 Rrna processing ","https://amigo.geneontology.org/amigo/term/GO:0006364"," AT1G06380  AT1G31660  NFD3  FAS4  AT3G02560  AT3G21540  PMH1  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G15750  AT5G20160  AT5G20600  AT5G48240  OLI2  EMB2762  AT2G25870  EDA14  PPAN  FZF  AT1G18850  AT5G11240","1"
"11",6.88229287394572e-09,24,315,5.49625761531767,"GO:0016072 Rrna metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0016072"," AT1G06380  AT1G31660  NFD3  FAS4  AT3G02560  AT3G13940  AT3G21540  PMH1  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G15750  AT5G20160  AT5G20600  AT5G48240  OLI2  EMB2762  AT2G25870  EDA14  PPAN  FZF  AT1G18850  AT5G11240","1"
"12",5.2376462795925e-11,31,416,5.37569667603937,"GO:0042254 Ribosome biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0042254"," AT1G06380  AT1G13160  SAC52  AT1G31660  NFD3  FAS4  AT1G67620  AT2G18220  AT2G20450  FZF  AT3G02560  XPO1B  AT3G21540  PMH1  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G15750  RAN2  AT5G20160  AT5G20600  AT5G48240  OLI2  PPAN  NRPA2  EMB2762  AT2G25870  EDA14  AT1G18850  AT5G11240","1"
"13",0.000804479914794237,12,179,4.83609259448342,"GO:0044272 Sulfur compound biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0044272"," IAR4  AT1G14810  SERAT2;1  APS1  APR1  AKN2  MYC2  UGT74B1  SUR1  WES1  GGP1  CYP79B3","1"
