"","Enrichment.FDR","nGenes","Pathway.Genes","Fold.Enrichment","Pathway","URL","Genes","cluster"
"1",0.000431214785744911,7,271,9.64411090056847,"GO:0036293 Response to decreased oxygen levels ","https://amigo.geneontology.org/amigo/term/GO:0036293"," STZ  CML38  UCP5  AT3G10020  AT3G23170  CP12-2  GLB3",1
"2",0.00171022333738166,6,242,9.25698012061649,"GO:0036294 Cellular response to decreased oxygen levels ","https://amigo.geneontology.org/amigo/term/GO:0036294"," STZ  CML38  UCP5  AT3G10020  AT3G23170  CP12-2",1
"3",0.00278906179090168,6,267,8.39022168235651,"GO:0001666 Response to hypoxia ","https://amigo.geneontology.org/amigo/term/GO:0001666"," STZ  CML38  UCP5  AT3G10020  AT3G23170  GLB3",1
"4",0.00378706068028854,6,285,7.86031294452347,"GO:0031347 Reg. of defense response ","https://amigo.geneontology.org/amigo/term/GO:0031347"," JAZ1  AT1G47370  WRKY54  RLP42  PRXCB  ARCK1",1
"5",0.000219285558668362,9,453,7.4178449973152,"GO:0006979 Response to oxidative stress ","https://amigo.geneontology.org/amigo/term/GO:0006979"," CAT3  HSP18.2  PRXCB  AT5G15180  WRKY54  STZ  AT3G10020  AT3G16670  ABO1",1
"6",0.000573323142485328,8,407,7.33886712265091,"GO:0042742 Defense response to bacterium ","https://amigo.geneontology.org/amigo/term/GO:0042742"," CRK19  JAZ1  SBT3.3  WRKY54  PRXCB  RPS2  AT5G22540  WRKY38",1
"7",0.000431214785744911,9,509,6.60173631391706,"GO:0009617 Response to bacterium ","https://amigo.geneontology.org/amigo/term/GO:0009617"," CRK19  ELI3-2  JAZ1  SBT3.3  WRKY54  PRXCB  RPS2  AT5G22540  WRKY38",1
"8",0.000214272386639093,14,1185,4.411061694606,"GO:0098542 Defense response to other organism ","https://amigo.geneontology.org/amigo/term/GO:0098542"," CRK19  CYP81K2  SCRL7  RPS2  SYP122  JAZ1  SBT3.3  AT1G47370  WRKY54  AT3G23170  RLP42  PRXCB  AT5G22540  WRKY38",1
"9",0.000214272386639093,16,1489,4.01197974334308,"GO:0043207 Response to external biotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0043207"," CRK19  CYP81K2  SCRL7  RPS2  ARCK1  ELI3-2  SYP122  JAZ1  SBT3.3  AT1G47370  WRKY54  AT3G23170  RLP42  PRXCB  AT5G22540  WRKY38",1
"10",0.000214272386639093,16,1489,4.01197974334308,"GO:0051707 Response to other organism ","https://amigo.geneontology.org/amigo/term/GO:0051707"," CRK19  CYP81K2  SCRL7  RPS2  ARCK1  ELI3-2  SYP122  JAZ1  SBT3.3  AT1G47370  WRKY54  AT3G23170  RLP42  PRXCB  AT5G22540  WRKY38",1
"11",0.000214272386639093,16,1510,3.9561839985681,"GO:0044419 Biological proc. involved in interspecies interaction between organisms ","https://amigo.geneontology.org/amigo/term/GO:0044419"," CRK19  CYP81K2  SCRL7  RPS2  ARCK1  ELI3-2  SYP122  JAZ1  SBT3.3  AT1G47370  WRKY54  AT3G23170  RLP42  PRXCB  AT5G22540  WRKY38",1
"12",0.000214272386639093,17,1725,3.67953779866823,"GO:0070887 Cellular response to chemical stimulus ","https://amigo.geneontology.org/amigo/term/GO:0070887"," STZ  CML38  UCP5  AT3G10020  AT3G23170  JAZ1  CAT3  AT1G65690  WRKY54  PRXCB  ABO1  AT5G15180  IAA28  AT5G51190  CP12-2  ARCK1  WRKY38",1
"13",0.00157978444350528,15,1707,3.28088633448915,"GO:0006952 Defense response ","https://amigo.geneontology.org/amigo/term/GO:0006952"," JAZ1  CRK19  CYP81K2  SBT3.3  AT1G47370  SCRL7  WRKY54  RLP42  ARCK1  RPS2  SYP122  AT3G23170  PRXCB  AT5G22540  WRKY38",1
