,cl
AT1G01420,11
AT1G02340,11
AT1G04050,11
AT1G08650,11
AT1G24260,11
AT1G47395,11
AT1G52400,11
AT1G52410,11
AT1G68350,11
AT1G78450,11
AT2G01830,11
AT2G06950,11
AT2G16660,11
AT2G16890,11
AT2G17550,11
AT2G32590,11
AT2G39700,11
AT2G43530,11
AT2G43550,11
AT3G12520,11
AT3G14940,11
AT3G16830,11
AT3G25717,11
AT3G30720,11
AT3G46130,11
AT3G53760,11
AT3G60710,11
AT4G04410,11
AT4G04810,11
AT4G04830,11
AT4G05520,11
AT4G17460,11
AT4G20320,11
AT4G27860,11
AT5G02260,11
AT5G04355,11
AT5G05240,11
AT5G05340,11
AT5G08000,11
AT5G09440,11
AT5G13710,11
AT5G23010,11
AT5G27030,11
AT5G27230,11
AT5G54510,11
AT5G57340,11
AT5G60200,11
AT5G60930,11
AT5G64990,11
AT1G03770,11
AT1G05370,11
AT1G07777,11
AT1G12320,11
AT1G14810,11
AT1G28660,11
AT1G36520,11
AT1G36540,11
AT1G37603,11
AT1G40077,11
AT1G41680,11
AT1G51070,11
AT1G54020,11
AT1G60030,11
AT1G60960,11
AT1G65880,11
AT1G70470,11
AT1G77760,11
AT1G80660,11
AT2G05440,11
AT2G05510,11
AT2G09187,11
AT2G16720,11
AT2G18550,11
AT2G18720,11
AT2G25450,11
AT2G26360,11
AT2G36890,11
AT2G37620,11
AT2G44450,11
AT3G02980,11
AT3G10985,11
AT3G14370,11
AT3G16420,11
AT3G23630,11
AT3G47030,11
AT3G49570,11
AT3G50010,11
AT3G50440,11
AT3G55610,11
AT3G63110,11
AT4G00870,11
AT4G06517,11
AT4G06718,11
AT4G09510,11
AT4G10380,11
AT4G15210,11
AT4G15670,11
AT4G23600,11
AT4G30270,11
AT4G36850,11
AT4G37520,11
AT5G02430,11
AT5G10910,11
AT5G10920,11
AT5G10940,11
AT5G10950,11
AT5G18740,11
AT5G19120,11
AT5G23350,11
AT5G23360,11
AT5G23870,11
AT5G24160,11
AT5G24780,11
AT5G27037,11
AT5G32431,11
AT5G36670,11
AT5G41120,11
AT5G46590,11
AT5G53880,11
AT5G57130,11
AT5G60142,11
AT5G65850,11
AT1G01560,5
AT1G01660,5
AT1G04600,5
AT1G07000,5
AT1G07890,5
AT1G09932,5
AT1G10340,5
AT1G11300,5
AT1G13470,5
AT1G13550,5
AT1G15750,5
AT1G21240,5
AT1G21250,5
AT1G23840,5
AT1G23850,5
AT1G24140,5
AT1G34420,5
AT1G34580,5
AT1G35710,5
AT1G47510,5
AT1G52800,5
AT1G53875,5
AT1G56120,5
AT1G56540,5
AT1G56550,5
AT1G57630,5
AT1G58225,5
AT1G58300,5
AT1G65790,5
AT1G66090,5
AT1G66880,5
AT1G66960,5
AT1G68650,5
AT1G72280,5
AT1G72490,5
AT1G73805,5
AT1G74310,5
AT1G75040,5
AT2G04495,5
AT2G13790,5
AT2G17040,5
AT2G17120,5
AT2G18660,5
AT2G21850,5
AT2G24165,5
AT2G24600,5
AT2G26150,5
AT2G26440,5
AT2G28160,5
AT2G30250,5
AT2G31880,5
AT2G32160,5
AT2G32680,5
AT2G33080,5
AT2G33580,5
AT2G34940,5
AT2G37900,5
AT2G38470,5
AT2G44400,5
AT2G47130,5
AT2G47730,5
AT3G00400,5
AT3G00850-AT3G48630,5
AT3G01830,5
AT3G07195,5
AT3G09450,5
AT3G11010,5
AT3G11080,5
AT3G11402,5
AT3G13950,5
AT3G15536,5
AT3G20510,5
AT3G20960,5
AT3G23560,5
AT3G24900,5
AT3G25010,5
AT3G26210,5
AT3G28540,5
AT3G28890,5
AT3G29000,5
AT3G29250,5
AT3G43190,5
AT3G44350,5
AT3G44400,5
AT3G45730,5
AT3G46110,5
AT3G47070,5
AT3G47340,5
AT3G48080,5
AT3G48300,5
AT3G48640,5
AT3G48650,5
AT3G50480,5
AT3G51330,5
AT3G53235,5
AT3G56710,5
AT3G57460,5
AT3G60415,5
AT3G60470,5
AT3G61490,5
AT4G00700,5
AT4G00955-AT4G00960,5
AT4G03450,5
AT4G04490,5
AT4G04500,5
AT4G04510,5
AT4G04540,5
AT4G08470,5
AT4G09770,5
AT4G10500,5
AT4G11000,5
AT4G12720,5
AT4G13900,5
AT4G14365,5
AT4G14390,5
AT4G17470,5
AT4G21840,5
AT4G22530,5
AT4G23140,5
AT4G23150,5
AT4G23180,5
AT4G23200,5
AT4G23220,5
AT4G23230,5
AT4G23310,5
AT4G23320,5
AT4G23610,5
AT4G25070,5
AT4G27280,5
AT4G27740-AT4G27745,5
AT4G28490,5
AT4G33050,5
AT4G37370,5
AT4G38560,5
AT5G03495,5
AT5G07770,5
AT5G07780,5
AT5G08275,5
AT5G10380,5
AT5G10760,5
AT5G22380,5
AT5G22520,5
AT5G24210,5
AT5G24530,5
AT5G25250,5
AT5G25440,5
AT5G26170,5
AT5G26690,5
AT5G26920,5
AT5G27420,5
AT5G35580,5
AT5G38250,5
AT5G41550,5
AT5G41750,5
AT5G42380,5
AT5G42460,5
AT5G42830,5
AT5G45000,5
AT5G45410,5
AT5G45470,5
AT5G47850,5
AT5G52750,5
AT5G52760,5
AT5G54230,5
AT5G54610,5
AT5G55450,5
AT5G55460,5
AT5G59680,5
AT5G60900,5
AT5G64000,5
AT5G64810,5
AT5G64910,5
AT5G66620,5
AT5G66630,5
AT5G66640,5
AT5G67340,5
AT5G67450,5
AT1G01900,5
AT1G02450,5
AT1G03210,5
AT1G09750,5
AT1G11330,5
AT1G12290,5
AT1G12990,5
AT1G16260,5
AT1G17260,5
AT1G17600,5
AT1G17610,5
AT1G19960,5
AT1G21270,5
AT1G23380,5
AT1G24147,5
AT1G24150,5
