Supplementary Dataset S6: Prediction of effector proteins among BSPs using EffectorP and DeepRedEff.,,,
GeneID,EffectorP3,EffectorP3_fungi,Deepredeff
Bcin01g00200,Non-effector,Non-effector,non-effector
Bcin01g00320,Cytoplasmic effector,Non-effector,non-effector
Bcin01g00640,Non-effector,Non-effector,effector
Bcin01g00790,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g00800,Non-effector,Non-effector,effector
Bcin01g00900,Non-effector,Non-effector,effector
Bcin01g00930,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin01g01115,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin01g01240,Non-effector,Non-effector,effector
Bcin01g01330,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g01470,Non-effector,Non-effector,effector
Bcin01g01480,Non-effector,Non-effector,effector
Bcin01g01760,Non-effector,Non-effector,non-effector
Bcin01g01980,Apoplastic effector,Apoplastic effector,effector
Bcin01g02320,Non-effector,Non-effector,non-effector
Bcin01g02430,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g02460,Non-effector,Non-effector,effector
Bcin01g02470,Non-effector,Non-effector,non-effector
Bcin01g02690,Non-effector,Non-effector,non-effector
Bcin01g03150,Non-effector,Non-effector,non-effector
Bcin01g03210,Non-effector,Non-effector,non-effector
Bcin01g03330,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin01g03760,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin01g03910,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin01g04010,Non-effector,Non-effector,effector
Bcin01g04250,Non-effector,Non-effector,effector
Bcin01g04510,Non-effector,Non-effector,effector
Bcin01g04530,Non-effector,Non-effector,effector
Bcin01g04580,Non-effector,Non-effector,non-effector
Bcin01g04820,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin01g04970,Apoplastic effector,Apoplastic effector,effector
Bcin01g05020,Apoplastic effector,Apoplastic effector,effector
Bcin01g05180,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g05310,Non-effector,Non-effector,effector
Bcin01g05330,Non-effector,Non-effector,non-effector
Bcin01g05680,Non-effector,Non-effector,effector
Bcin01g05720,Non-effector,Non-effector,effector
Bcin01g05940,Non-effector,Non-effector,effector
Bcin01g06010,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g06060,Apoplastic effector,Apoplastic effector,effector
Bcin01g06210,Non-effector,Non-effector,non-effector
